  0:00 ------------------------------------------------------------
  0:00 InitGame: \dmflags\0\fraglimit\30\timelimit\25\sv_hostname\malina\sv_maxclients\8\sv_minRate\0\sv_maxRate\0\sv_dlRate\100\sv_minPing\0\sv_maxPing\0\sv_floodProtect\1\g_maxGameClients\0\capturelimit\8\version\ioq3 1.36+u20181222.e5da13f~dfsg-2/Raspbian linux-arm Mar  8 2019\com_gamename\Quake3Arena\com_protocol\71\g_gametype\0\mapname\q3dm16\sv_privateClients\0\sv_allowDownload\0\bot_minplayers\0\gamename\baseq3\g_needpass\0
  0:00 ClientConnect: 0
  0:00 ClientUserinfoChanged: 0 n\vincent\t\0\model\doom/default\hmodel\doom/default\g_redteam\\g_blueteam\\c1\2\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:00 ClientConnect: 1
  0:00 ClientUserinfoChanged: 1 n\Bruno\t\0\model\sarge/default\hmodel\sarge/default\g_redteam\\g_blueteam\\c1\6\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:00 ClientConnect: 2
  0:00 ClientUserinfoChanged: 2 n\^4anomen\t\0\model\ranger/default\hmodel\ranger/default\g_redteam\\g_blueteam\\c1\1\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:00 ClientConnect: 3
  0:00 ClientUserinfoChanged: 3 n\None\t\0\model\sarge/default\hmodel\sarge/default\g_redteam\\g_blueteam\\c1\3\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:02 ClientUserinfoChanged: 2 n\^4anomen\t\0\model\ranger/default\hmodel\ranger/default\g_redteam\\g_blueteam\\c1\1\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:02 ClientBegin: 2
  0:02 ClientUserinfoChanged: 3 n\None\t\0\model\sarge/default\hmodel\sarge/default\g_redteam\\g_blueteam\\c1\3\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:02 ClientBegin: 3
  0:04 ClientUserinfoChanged: 0 n\vincent\t\0\model\doom/default\hmodel\doom/default\g_redteam\\g_blueteam\\c1\2\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:04 ClientBegin: 0
  0:08 ClientUserinfoChanged: 0 n\vincent-vega\t\0\model\doom/default\hmodel\doom/default\g_redteam\\g_blueteam\\c1\2\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:08 Item: 3 weapon_rocketlauncher
  0:11 ClientUserinfoChanged: 1 n\Bruno\t\0\model\sarge/default\hmodel\sarge/default\g_redteam\\g_blueteam\\c1\6\c2\5\hc\100\w\0\l\0\tt\0\tl\0
  0:11 ClientBegin: 1
  0:11 Item: 0 item_armor_combat
  0:14 Item: 0 ammo_bullets
  0:14 Item: 0 ammo_shells
  0:15 Item: 2 weapon_rocketlauncher
  0:15 Item: 1 item_health
  0:17 Item: 0 ammo_slugs
  0:20 Item: 1 ammo_cells
  0:20 Item: 1 ammo_cells
  0:20 Item: 0 weapon_railgun
  0:23 Item: 2 weapon_rocketlauncher
  0:25 Item: 0 item_armor_shard
  0:25 Item: 0 item_armor_shard
  0:27 Item: 2 weapon_railgun
  0:29 Item: 2 item_health
  0:29 Item: 3 item_health
  0:31 Item: 1 item_armor_body
